device_name,update_time,link,Temp,RH,CO2,PM2.5,PM10,eTVOC,Noise
QP000 Test Device,6 minutes,https://qingpingiot.com/deviceDetail/D3A43B97BC1AFF4FCB380D46572EBA12?group_id=undefined,26.7,78.6%,542,32,33,47,55
QP001,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/74D0587D9F41C6D60EFB582BA6F235F2?group_id=undefined,28.5,66.5%,3896,99999,99999,130,64
QP002,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/DD75A3BBC4A346915FA2C3162206265E?group_id=undefined,27.8,61.2%,3342,19,21,54,68
QP003,"10:10, Apr 26",https://qingpingiot.com/deviceDetail/B7CDE9B4D9971C18DD0A84CDCAFAF363?group_id=undefined,--,--,--,--,--,--,--
QP004,,https://qingpingiot.com/deviceDetail/76A952E3FC6BC974AA38DE4BC45D14D5?group_id=undefined,27.4,66.5%,2967,32,33,52,61
QP005,"10:00, Apr 26",https://qingpingiot.com/deviceDetail/FAB8AB4893E32D30BAD4D7B305FE543E?group_id=undefined,27.3,68.4%,2697,32,33,52,63
QP006,"10:22, Apr 26",https://qingpingiot.com/deviceDetail/BE6C0405C4D224A54E3B11EBFD80C96E?group_id=undefined,--,--,--,--,--,--,--
QP007,"10:15, Apr 26",https://qingpingiot.com/deviceDetail/46D3BCCEA0E2F913B5E861EC6F7DA23B?group_id=undefined,26.8,64.8%,3003,36,37,33,65
QP008,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/91DEC4764166CE74B0134109CD0E6443?group_id=undefined,28.1,58.1%,2844,23,24,47,70
QP009,"11:00, Apr 26",https://qingpingiot.com/deviceDetail/C3D2D2BC9F21BB4D34F5D6476C788034?group_id=undefined,--,--,--,--,--,--,--
QP010,"10:31, Apr 26",https://qingpingiot.com/deviceDetail/4D1D86E83042C5FE0B01533B973AC8B1?group_id=undefined,--,--,--,--,--,--,--
QP011,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/EDD070AD4966D3E98E52FB058A1F82A6?group_id=undefined,28.3,61.1%,3633,21,24,53,68
QP012,"10:16, Apr 26",https://qingpingiot.com/deviceDetail/905FD2CD828889F15B0A775FFDDA240A?group_id=undefined,--,--,--,--,--,--,--
QP013,"10:05, Apr 26",https://qingpingiot.com/deviceDetail/E2E46925C38D0C2A06939101E9B00740?group_id=undefined,--,--,--,--,--,--,--
QP014,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/7235546613B3DA78E3777DED1DA782E8?group_id=undefined,27.5,62.4%,3714,20,20,52,65
QP015,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/7773306A67552F1CE5BB16FE9CC4F3CD?group_id=undefined,28,62.9%,3466,22,23,52,69
QP016,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/79B50A1A74E57C0BAE3E54B7EB4CC4A6?group_id=undefined,27,63.3%,3927,23,23,52,73
QP017,"10:20, Apr 26",https://qingpingiot.com/deviceDetail/21F93F4DD5F3A245314FB5263A9DC5D5?group_id=undefined,--,--,--,--,--,--,--
QP018,"10:03, Apr 26",https://qingpingiot.com/deviceDetail/481DC342ACFCA00961684DF4E1BD04CE?group_id=undefined,--,--,--,--,--,--,--
QP019,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/9DDA2A4A0FD1C23760850E28CC63E012?group_id=undefined,29.7,57%,3185,19,19,51,75
QP020,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/465B8C5C0917275E7724B5BD46C8CC00?group_id=undefined,27.7,62%,3638,16,18,52,69
